ISBN,title,authors,category,publicationYear,totalCopies,availableCopies,shelfNumber,addedAt,lastUpdated
978-0-382-27045-1,Harry Potter and the Sorcerer's Stone,Raymond Chandler,Psychology,2024,217,217,A-46,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-83426-460-8,A Tale of Two Cities,Louisa May Alcott,Young Adult,2024,55,55,E-31,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-521-14907-5,Beloved,Lewis Carroll,Comic,2024,167,167,D-64,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-61630-458-4,The Three Musketeers,Carson McCallers,Religion,2024,190,190,A-30,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-325-27099-9,In Cold Blood,Rudyard Kipling,Memoir,2024,136,136,J-80,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-16-785705-1,David Copperfield,Chinua Achebe,Mystery,2025,176,176,Q-13,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-19-534781-4,"Tinker, Tailor, Soldier, Spy",Benjamin Jowett,Religion,2025,188,188,R-32,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-359-36149-3,A Portrait of the Artist as a Young Man,Jonathan Swift,Philosophy,2024,296,296,C-91,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-9809-0556-1,Cranford,Margaret Mitchell,Classic,2025,44,44,W-44,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-64371-813-2,The Heart of the Matter,Victor Hugo,Comic,2024,190,190,J-60,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-81744-180-4,The Yellow Wallpaper,Ian McEwan,Detective,2024,205,205,S-98,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-163-02163-7,The Strange Case of Dr. Jekyll and Mr. Hyde,George Grossmith,Comedy,2024,92,92,O-47,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-4005-6480-4,Hitting the line,Paulo Coelho,Philosophy,2025,208,208,S-33,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-4983-2726-8,The Stranger,Antoine de Saint-Exupéry,Historical Fiction,2024,116,116,G-26,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-158-96662-2,Lord of the Flies,Virginia Woolf,Young Adult,2024,286,286,H-30,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-85295-786-8,The Heart of the Matter,Fyodor Dostoyevsky,Romance,2025,15,15,P-75,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-897488-95-9,The Way We Live Now,Lewis Carroll,Comic,2024,227,227,S-22,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-87385-896-0,Grimms' Fairy Tales,F. Scott Fitzgerald,Biography,2024,55,55,T-11,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-7140-4298-5,The Three Musketeers,Anthony Burgess,Children's Literature,2025,142,142,S-53,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-8088-0944-9,A Bend in the River,Robert Louis Stevenson,Historical Fiction,2024,200,200,S-39,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-251-36308-3,American Pastoral,Victor Hugo,Memoir,2025,32,32,Q-53,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-149-79247-6,The Way We Live Now,Kazuo Ishiguro,Western,2025,217,217,A-71,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-601-40285-4,A Wrinkle in Time,Walter Scott,Young Adult,2025,47,47,B-33,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-2288-5741-9,The Rainbow,Richard Yates,Classic,2025,106,106,K-22,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-943739-98-1,Herzog,Wilhelm Grimm,Poetry,2025,111,111,F-61,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-369-69203-7,The Idiot,Arthur Schopenhauer,Philosophy,2024,198,198,P-95,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-523-45903-5,"20,000 Leagues Under the Sea",Gabriel Garcia Marquez,Detective,2024,257,257,U-01,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-55867-825-5,L.A. Confidential,Gustave Doré,Religion,2025,53,53,L-94,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-374-20173-6,The Little Prince,W.G. Sebald,Horror,2025,180,180,W-54,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
